Name,Intelligence,Strength,Speed,Durability,Power,Combat,"Full name",Creator,Alignment,Gender,Height,Weight,"Total Power",hero_names,Agility,"Accelerated Healing","Lantern Power Ring","Dimensional Awareness","Cold Resistance",Durability,Stealth,"Energy Absorption",Flight,"Danger Sense","Underwater breathing",Marksmanship,"Weapons Master","Power Augmentation","Animal Attributes",Longevity,Intelligence,"Super Strength",Cryokinesis,Telepathy,"Energy Armor","Energy Blasts",Duplication,"Size Changing","Density Control",Stamina,"Astral Travel","Audio Control",Dexterity,Omnitrix,"Super Speed",Possession,"Animal Oriented Powers","Weapon-based Powers",Electrokinesis,"Darkforce Manipulation","Death Touch",Teleportation,"Enhanced Senses",Telekinesis,"Energy Beams",Magic,Hyperkinesis,Jump,Clairvoyance,"Dimensional Travel","Power Sense",Shapeshifting,"Peak Human Condition",Immortality,Camouflage,"Element Control",Phasing,"Astral Projection","Electrical Transport","Fire Control",Projection,Summoning,"Enhanced Memory",Reflexes,Invulnerability,"Energy Constructs","Force Fields",Self-Sustenance,Anti-Gravity,Empathy,"Power Nullifier","Radiation Control","Psionic Powers",Elasticity,"Substance Secretion","Elemental Transmogrification",Technopath/Cyberpath,"Photographic Reflexes","Seismic Power",Animation,Precognition,"Mind Control","Fire Resistance","Power Absorption","Enhanced Hearing","Nova Force",Insanity,Hypnokinesis,"Animal Control","Natural Armor",Intangibility,"Enhanced Sight","Molecular Manipulation","Heat Generation",Adaptation,Gliding,"Power Suit","Mind Blast","Probability Manipulation","Gravity Control",Regeneration,"Light Control",Echolocation,Levitation,"Toxin and Disease Control",Banish,"Energy Manipulation","Heat Resistance","Natural Weapons","Time Travel","Enhanced Smell",Illusions,Thirstokinesis,"Hair Manipulation",Illumination,Omnipotent,Cloaking,"Changing Armor","Power Cosmic",Biokinesis,"Water Control","Radiation Immunity","Vision - Telescopic","Toxin and Disease Resistance","Spatial Awareness","Energy Resistance","Telepathy Resistance","Molecular Combustion",Omnilingualism,"Portal Creation",Magnetism,"Mind Control Resistance","Plant Control",Sonar,"Sonic Scream","Time Manipulation","Enhanced Touch","Magic Resistance",Invisibility,Sub-Mariner,"Radiation Absorption","Intuitive aptitude","Vision - Microscopic",Melting,"Wind Control","Super Breath",Wallcrawling,"Vision - Night","Vision - Infrared","Grim Reaping","Matter Absorption","The Force",Resurrection,Terrakinesis,"Vision - Heat",Vitakinesis,"Radar Sense","Qwardian Power Ring","Weather Control","Vision - X-Ray","Vision - Thermal","Web Creation","Reality Warping","Odin Force","Symbiote Costume","Speed Force","Phoenix Force","Molecular Dissipation","Vision - Cryo",Omnipresent,Omniscient
"Agent Zero",90.0,30.0,40.0,80.0,75.0,95.0,"Christoph Nord","Marvel Comics",good,Male,"6'3 // 191 cm","230 lb // 104 kg",410.0,"Agent Zero",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Air-Walker,80.0,85.0,100.0,85.0,100.0,40.0,"Gabriel Lan","Marvel Comics",bad,Male,"6'2 // 188 cm","240 lb // 108 kg",490.0,Air-Walker,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ajax,80.0,50.0,35.0,80.0,35.0,55.0,Francis,"Marvel Comics",bad,Male,"6'4 // 193 cm","200 lb // 90 kg",335.0,Ajax,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Alex Mercer",80.0,80.0,45.0,90.0,100.0,50.0,"Alexander J. Mercer",Wildstorm,bad,Male,"- // 0 cm","- lb // 0 kg",445.0,"Alex Mercer",True,True,False,False,False,False,True,True,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
"Alex Woolsly",55.0,35.0,40.0,45.0,35.0,40.0,"Alex Woolsly","NBC - Heroes",good,Male,"- // 0 cm","- lb // 0 kg",250.0,"Alex Woolsly",False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alien,80.0,30.0,45.0,90.0,60.0,60.0,Xenomorph,"Dark Horse Comics",bad,Male,"8'0 // 244 cm","375 lb // 169 kg",365.0,Alien,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Amazo,85.0,100.0,85.0,100.0,100.0,100.0,-,"DC Comics",bad,Male,"8'5 // 257 cm","385 lb // 173 kg",570.0,Amazo,True,False,True,False,False,True,False,False,True,False,True,True,False,True,False,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Ammo,35.0,45.0,35.0,35.0,25.0,70.0,-,"Marvel Comics",bad,Male,"6'2 // 188 cm","225 lb // 101 kg",245.0,Ammo,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Ando Masahashi",35.0,25.0,30.0,60.0,65.0,30.0,"Ando Masahashi","NBC - Heroes",good,Male,"- // 0 cm","- lb // 0 kg",245.0,"Ando Masahashi",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Angel,85.0,15.0,50.0,65.0,30.0,45.0,"Warren Kenneth Worthington III","Marvel Comics",good,Male,"6'0 // 183 cm","150 lb // 68 kg",290.0,Angel,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Angel,90.0,30.0,60.0,90.0,100.0,75.0,Liam,"Dark Horse Comics",good,Male,"- // 0 cm","- lb // 0 kg",445.0,Angel,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Angel Dust",75.0,55.0,25.0,45.0,20.0,30.0,Christina,"Marvel Comics",good,Female,"5'5 // 165 cm","126 lb // 57 kg",250.0,"Angel Dust",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Angel Salvadore",75.0,10.0,30.0,30.0,60.0,60.0,"Angel Salvadore Bohusk","Marvel Comics",good,Female,"5'4 // 163 cm","121 lb // 54 kg",265.0,"Angel Salvadore",False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Angela,95.0,100.0,100.0,100.0,100.0,100.0,-,"Image Comics",bad,Female,"- // 0 cm","- lb // 0 kg",595.0,Angela,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Animal Man",80.0,50.0,50.0,85.0,75.0,80.0,"Bernhard Baker","DC Comics",good,Male,"6'0 // 183 cm","185 lb // 83 kg",420.0,"Animal Man",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Annihilus,90.0,80.0,50.0,60.0,60.0,65.0,Annihilus,"Marvel Comics",bad,Male,"5'11 // 180 cm","200 lb // 90 kg",405.0,Annihilus,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ant-Man,100.0,20.0,25.0,30.0,35.0,35.0,"Henry Jonathan Pym","Marvel Comics",good,Male,"6'11 // 211 cm","270 lb // 122 kg",245.0,Ant-Man,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
